protocol,tvl,chains,category,contact_email,contact_name
Binance CEX,138474313472,Ethereum|Bitcoin|Binance,CEX,,
OKX,21312060042,Ethereum|Bitcoin|Solana,CEX,,
Lido,18023484596,Ethereum|Solana|Moonbeam,Liquid Staking,,
Bitfinex,17104736573,Bitcoin|Ethereum|Tron,CEX,,
Aave V3,14016168136,Ethereum|Plasma|Arbitrum,Lending,,
Bybit,13053608972,Ethereum|Bitcoin|Tron,CEX,,
Robinhood,11757906003,Bitcoin|Ethereum|Polygon,CEX,,
SSV Network,9504162182,Ethereum,Staking Pool,,
Morpho Blue,7754644992,Ethereum|Base|Robinhood Chain,Lending,,
WBTC,7379747692,Bitcoin,Bridge,,
Binance staked ETH,7129678961,Ethereum|Binance,Liquid Staking,,
LayerZero V2,6712355213,Ethereum|Arbitrum|Base,Bridge,,
Coinbase Bridge,6187929831,Bitcoin|Ripple|Doge,Bridge,,
Hyperliquid Bridge,6000024302,Hyperliquid L1|Arbitrum,Bridge,,
Sky Lending,5667871462,Ethereum,CDP,,
EigenCloud,5147794531,Ethereum,Restaking,,
Bitget,5002403954,Bitcoin|Ethereum|Solana,CEX,,
Gate,4766761786,Ethereum|Bitcoin|Binance,CEX,,
MEXC,4707118135,Ethereum|Bitcoin|Solana,CEX,,
Binance Bitcoin,4410676079,Bitcoin,Bridge,,
Gemini,4336011494,Bitcoin|Ethereum,CEX,,
Deribit,4200886646,Bitcoin|Ethereum|Solana,CEX,,
HTX,4044498898,Tron|Bitcoin|Ethereum,CEX,,
Ethena USDe,3865183852,Ethereum,Basis Trading,,
SparkLend,3725739224,Ethereum|xDai,Lending,,
BlackRock BUIDL,3473405552,Ethereum|Aptos|Solana,RWA,,
USDT0,3441069299,Ethereum,Bridge,,
ether.fi Stake,3336028652,Ethereum|Arbitrum|Base,Liquid Restaking,,
JustLend V1,3317149816,Tron,Lending,,
Circle USYC,3005504028,Binance|Ethereum|Noble,RWA,,
Steakhouse Financial,2965721758,Base|Ethereum|Robinhood Chain,Risk Curators,,
Tether Gold,2920998531,Ethereum|Monad|Plasma,RWA,,
Arbitrum Bridge,2841794511,Ethereum,Canonical Bridge,,
Babylon Protocol,2747926823,Bitcoin,Restaking,,
Polygon Bridge,2599972139,Ethereum,Chain,,
Ondo Yield Assets,2529391332,Ethereum|Stellar|Sei,RWA,,
KuCoin,2479888008,Ethereum|Bitcoin|Solana,CEX,,
Grove Finance,2427928998,Ethereum|Base|Avalanche,Onchain Capital Allocator,,
Base Bridge,2310655377,Ethereum,Canonical Bridge,,
Spiko,2255986389,Stellar|Arbitrum|Ethereum,RWA,,
Maple,2244058738,Ethereum|Solana,Lending,,
Sentora,2178827954,Ethereum|Ink|Solana,Risk Curators,,
Crypto-com,2097857198,Bitcoin|Ethereum|Polygon,CEX,,
JustCryptos,2076630732,Tron,Bridge,,
Paxos Gold,1811618788,Ethereum,RWA,,
Spark Liquidity Layer,1714062514,Ethereum|Arbitrum|Base,Onchain Capital Allocator,,
PancakeSwap AMM,1696157263,Binance|Ethereum|Aptos,Dexs,,
CCIP,1677997455,Ethereum|Avalanche|Solana,Bridge,,
Centrifuge Protocol,1627730030,Ethereum|Avalanche|Base,RWA,,
Figure Markets Exchange,1571766395,Provenance,OTC Marketplace,,
Uniswap V3,1495327623,Ethereum|Base|Arbitrum,Dexs,,
Portal,1487602173,Ethereum|Algorand|Binance,Bridge,,
Gauntlet,1424369753,Base|Binance|Ethereum,Risk Curators,,
USDD,1421663051,Tron|Ethereum|Binance,CDP,,
HashKey Exchange,1354663045,Bitcoin|Ethereum|Tron,CEX,,
Curve DEX,1288312072,Ethereum|Fraxtal|Base,Dexs,,
Veda,1280825301,Ink|Ethereum|Optimism,Onchain Capital Allocator,,
Poloniex,1256925159,Ethereum|Bitcoin|Ripple,CEX,,
Falcon Finance,1255999459,Ethereum,Basis Trading,,
Pendle,1211355051,Ethereum|Plasma|Monad,Yield,,
Bitkub,1156526338,Bitcoin|Ethereum|Ripple,CEX,,
Compound V3,1139522541,Ethereum|Arbitrum|Base,Lending,,
Spark Savings,1138123350,Ethereum|Arbitrum|Robinhood Chain,Yield,,
Sanctum Validator LSTs,1093495953,Solana,Liquid Staking,,
Venus Core Pool,1053236142,Binance|Ethereum|Arbitrum,Lending,,
Kamino Lend,1022246091,Solana,Lending,,
Rocket Pool,1017071307,Ethereum,Liquid Staking,,
Bitstamp,961435571,Ethereum|Ripple|Bitcoin,CEX,,
Blockchain Capital,957309065,zkSync Era,RWA,,
Ondo Global Markets,949532939,Ethereum|Binance|Solana,RWA,,
Jupiter Lend,940833645,Solana,Lending,,
Kelp,905856240,Ethereum,Liquid Restaking,,
Concrete,872848788,Ethereum|Stable|Berachain,Onchain Capital Allocator,,
Anemoy Capital,870571946,Ethereum|Celo|Base,RWA,,
Bitmex,860040881,Bitcoin|Ethereum|Tron,CEX,,
Uniswap V4,838066793,Ethereum|Base|Monad,Dexs,,
Raydium AMM,825719135,Solana,Dexs,,
Uniswap V2,821574433,Ethereum|Base|Polygon,Dexs,,
SwissBorg,817355122,Bitcoin|Ethereum|Solana,CEX,,
Kinetiq kHYPE,802170573,Hyperliquid L1,Liquid Staking,,
WisdomTree,776162427,Ethereum|Stellar,RWA,,
Binance Staked SOL,758595354,Solana,Liquid Staking,,
Jito Liquid Staking,742764831,Solana,Liquid Staking,,
Invesco USTB,737786839,Ethereum|Solana|Plume Mainnet,RWA,,
StakeWise V2,729035239,Ethereum|xDai,Liquid Staking,,
Jupiter Perpetual Exchange,711540958,Solana,Derivatives,,
Fluid Lending,665245710,Ethereum|Arbitrum|Plasma,Lending,,
Lista Lending,628817388,Binance|Ethereum,Lending,,
Liquid Collective,615141794,Ethereum,Liquid Staking,,
BingX,612361721,Tron|Bitcoin|Ethereum,CEX,,
OSL HK,597103414,Bitcoin|Ethereum|Solana,CEX,,
Lombard LBTC,596962237,Bitcoin|Ethereum,Restaked BTC,,
Tornado Cash,584785926,Ethereum|Binance|Arbitrum,Privacy,,
Optimism Bridge,564674253,Ethereum|Base|PGN,Canonical Bridge,,
Lista Liquid Staking,558013909,Binance,Liquid Staking,,
Function FBTC,551100449,Bitcoin,Bridge,,
Unit,524611434,Bitcoin|Ethereum|Solana,Bridge,,
Solstice,522867302,Solana,Basis Trading,,
Lighter Bridge,514202845,Ethereum|Robinhood Chain|Arbitrum,Bridge,,
Hastra,502951189,Ethereum|Solana,RWA,,
